********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   8          8          0    0.001        8
   9         10          0    0.001       10
  10         16          0    0.002       16
  11         55          0    0.005       55
  12         10          0    0.001       10
  13         83          0    0.008       83
  14         24          0    0.003       24
  15         35          0    0.006       35
  16         23          0    0.004       23
  17         36          0    0.007       36
  18         15          0    0.002       15
  19         93          0    0.019       93
  20         58          0    0.009       58
  21        102          0    0.019      102
  22         29          0    0.006       29
  23        107          0    0.023      107
  24         28          0    0.005       28
  25         54          0    0.010       54
  26         37          0    0.007       37
  27         28          0    0.006       28
  28         28          0    0.005       28
  29        151          0    0.033      151
  30         33          0    0.008       33
  31        145          0    0.040      145
  32        150          0    0.038      150
  33         76          0    0.022       76
  34        233          0    0.071      233
  35         58          0    0.018       58
  36         46          0    0.013       46
  37         53          0    0.018       53
  38         42          0    0.011       42
  39         44          0    0.012       44
  40         39          0    0.013       39
  41         63          0    0.023       63
  42         45          0    0.016       45
  43         39          0    0.013       39
  44         73          0    0.023       73
  45         51          0    0.019       51
  46        287          0    0.095      287
  47         83          0    0.031       83
  48        157          0    0.053      157
  49         75          0    0.025       75
  50         93          0    0.038       93
  51         76          0    0.033       76
  52         71          0    0.028       71
  53         47          0    0.016       47
  54         52          0    0.022       52
  55         73          0    0.031       73
  56         69          0    0.031       69
  57        532          0    0.214      532
  58         52          0    0.023       52
  59        386          0    0.169      386
  60         49          0    0.026       49
  61        212          0    0.082      212
  62        822          0    0.373      822
  63        303          0    0.143      303
  64         78          0    0.037       78
  65        343          0    0.143      343
  66         76          0    0.039       76
  67         90          0    0.046       90
  68         82          0    0.048       82
  69        753          0    0.342      753
  70        168          0    0.092      168
  71        171          0    0.085      171
  72        172          0    0.086      172
  73        214          0    0.113      214
  74        110          0    0.058      110
  75        529          0    0.282      529
  76        116          0    0.063      116
  77        263          0    0.142      263
  78        379          0    0.265      379
  79        146          0    0.097      146
  80        120          0    0.095      120
  81        914          0    0.637      914
  82         87          0    0.068       87
  83        270          0    0.189      270
  84        414          0    0.318      414
  85        142          0    0.088      142
  86         93          0    0.065       93
  87        415          0    0.357      415
  88        107          0    0.076      107
  89        797          0    0.562      797
  90         96          0    0.064       96
  91        537          0    0.376      537
  92        851          0    0.643      851
  93        129          0    0.103      129
  94         88          0    0.071       88
  95        596          0    0.461      596
  96       1069          0    0.741     1069
  97        117          0    0.083      117
  98        506          0    0.396      506
  99        488          0    0.436      488
 100         93          0    0.140       93
 101        486          0    0.433      486
 102        894          0    0.732      894
 103        118          0    0.106      118
 104        142          0    0.117      142
 105        104          0    0.095      104
 106        591          0    0.426      591
 107        108          0    0.108      108
 108        109          0    0.099      109
 109        532          0    0.405      532
 110       1814          0    1.720     1814
 111        180          0    0.156      180
 112        131          0    0.130      131
 113       1032          0    1.047     1032
 114       1900          0    1.779     1900
 115        248          0    0.220      248
 116        562          0    0.529      562
 117        133          0    0.144      133
 118        157          0    0.162      157
 119        638          0    0.677      638
 120        134          0    0.136      134
 121        139          0    0.159      139
 122        183          0    0.198      183
 123       1331          0    1.536     1331
 124        174          0    0.214      174
 125        625          0    0.656      625
 126        459          0    0.483      459
